job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name,remote_work_type,posting_year,application_duration,posting_month_num,posting_month
AI Product Manager,52167,Mid Level,Full-Time,Austria,Medium,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,9.3,Cloud AI Solutions,Remote,2024,17,6,June
ML Ops Engineer,53923,Mid Level,Full-Time,China,Small,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,7.4,AI Innovations,On-site,2024,22,10,October
Robotics Engineer,109779,Senior Level,Part-Time,Israel,Large,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,8.8,DataVision Ltd,Remote,2024,62,8,August
ML Ops Engineer,80979,Mid Level,Contract,Australia,Small,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,7.7,TechCorp Inc,Hybrid,2024,61,11,November
Data Analyst,52997,Mid Level,Part-Time,Austria,Medium,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,8.6,Predictive Systems,On-site,2025,41,1,January
Head of AI,42819,Entry Level,Contract,Ireland,Medium,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,8.6,Cognitive Computing,Hybrid,2024,43,10,October
ML Ops Engineer,82083,Mid Level,Contract,Israel,Large,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,6.3,Future Systems,Remote,2024,38,1,January
Head of AI,67488,Entry Level,Full-Time,Netherlands,Medium,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,6.0,Advanced Robotics,Remote,2024,71,5,May
Research Scientist,68624,Entry Level,Full-Time,Denmark,Medium,0,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,9.2,Cloud AI Solutions,On-site,2024,37,1,January
Robotics Engineer,146852,Senior Level,Full-Time,Switzerland,Small,50,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,5.3,Cognitive Computing,Hybrid,2024,23,8,August
ML Ops Engineer,178183,Executive Level,Freelance,Finland,Medium,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,5.7,Predictive Systems,On-site,2024,18,3,March
Deep Learning Engineer,150864,Senior Level,Freelance,Sweden,Large,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024-12-25,7.9,Smart Analytics,On-site,2024,60,10,October
Head of AI,126942,Executive Level,Contract,Finland,Large,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,9.9,Autonomous Tech,On-site,2024,26,1,January
AI Architect,53752,Mid Level,Part-Time,Japan,Medium,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,6.1,TechCorp Inc,Remote,2024,26,10,October
Robotics Engineer,111381,Executive Level,Contract,Israel,Small,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,8.1,Autonomous Tech,On-site,2024,58,1,January
AI Specialist,41430,Entry Level,Part-Time,China,Medium,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,8.0,Future Systems,Hybrid,2024,44,6,June
Data Engineer,166080,Executive Level,Freelance,Netherlands,Large,100,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,5.1,DeepTech Ventures,Remote,2024,61,3,March
Data Scientist,96956,Mid Level,Full-Time,United States,Medium,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,5.3,DataVision Ltd,On-site,2024,14,2,February
AI Architect,196954,Senior Level,Freelance,United States,Large,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,7.5,DataVision Ltd,Hybrid,2025,30,3,March
AI Specialist,56745,Entry Level,Part-Time,Finland,Large,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,5.5,Quantum Computing Inc,Remote,2025,69,2,February
Machine Learning Researcher,113455,Senior Level,Full-Time,Singapore,Medium,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,8.0,AI Innovations,Hybrid,2024,49,4,April
ML Ops Engineer,158808,Senior Level,Part-Time,Netherlands,Medium,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,7.4,Future Systems,Hybrid,2025,61,3,March
AI Research Scientist,174663,Senior Level,Contract,United States,Medium,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,5.4,DeepTech Ventures,Hybrid,2024,72,1,January
AI Research Scientist,46753,Entry Level,Contract,India,Small,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,9.7,Quantum Computing Inc,Hybrid,2024,32,11,November
AI Software Engineer,69020,Mid Level,Freelance,China,Large,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,8.8,TechCorp Inc,On-site,2024,50,9,September
AI Specialist,288815,Executive Level,Part-Time,Switzerland,Small,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,7.2,Cognitive Computing,On-site,2024,46,8,August
AI Consultant,124871,Executive Level,Freelance,Austria,Medium,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,8.0,Autonomous Tech,Hybrid,2025,68,3,March
AI Architect,70391,Mid Level,Full-Time,Germany,Small,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,9.2,TechCorp Inc,On-site,2024,64,8,August
Research Scientist,115376,Executive Level,Full-Time,India,Medium,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,5.5,Autonomous Tech,Remote,2024,33,3,March
Research Scientist,106579,Mid Level,Part-Time,United States,Small,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,5.4,Cognitive Computing,Remote,2024,68,2,February
Data Scientist,135230,Senior Level,Part-Time,Norway,Small,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,7.5,DataVision Ltd,Remote,2024,64,7,July
Research Scientist,67607,Mid Level,Part-Time,Israel,Small,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,8.6,Quantum Computing Inc,Hybrid,2024,21,8,August
AI Architect,88470,Mid Level,Part-Time,Canada,Large,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,9.1,Autonomous Tech,On-site,2024,60,7,July
Autonomous Systems Engineer,79863,Mid Level,Freelance,India,Large,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,5.6,Autonomous Tech,Remote,2024,28,9,September
Machine Learning Engineer,60299,Entry Level,Part-Time,Israel,Large,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,6.6,Advanced Robotics,Remote,2025,40,3,March
Machine Learning Engineer,85645,Mid Level,Full-Time,Germany,Medium,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,7.9,AI Innovations,On-site,2024,26,2,February
AI Software Engineer,110222,Senior Level,Freelance,United Kingdom,Small,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,9.0,TechCorp Inc,On-site,2024,46,3,March
Data Scientist,49365,Entry Level,Full-Time,China,Medium,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,10.0,Predictive Systems,On-site,2024,53,6,June
Data Scientist,162296,Senior Level,Part-Time,Norway,Small,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,6.2,Neural Networks Co,Hybrid,2024,26,6,June
AI Consultant,102382,Mid Level,Part-Time,Switzerland,Medium,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,5.8,Smart Analytics,On-site,2024,72,3,March
AI Software Engineer,99972,Mid Level,Part-Time,Australia,Medium,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,6.5,Cloud AI Solutions,Hybrid,2024,24,2,February
Data Engineer,64129,Entry Level,Contract,South Korea,Large,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,7.1,Machine Intelligence Group,On-site,2024,58,12,December
AI Specialist,87938,Senior Level,Full-Time,Ireland,Small,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,8.1,Machine Intelligence Group,Remote,2024,59,12,December
Autonomous Systems Engineer,71405,Mid Level,Freelance,Israel,Large,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,9.5,Advanced Robotics,On-site,2024,58,9,September
Machine Learning Engineer,316182,Executive Level,Part-Time,Denmark,Medium,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,7.0,Digital Transformation LLC,On-site,2025,14,2,February
Machine Learning Researcher,72459,Entry Level,Part-Time,Germany,Medium,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,9.6,Quantum Computing Inc,Remote,2024,16,8,August
Principal Data Scientist,78338,Mid Level,Full-Time,France,Large,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,8.7,Cognitive Computing,Remote,2024,45,10,October
NLP Engineer,51907,Mid Level,Freelance,Israel,Medium,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,8.2,Neural Networks Co,Remote,2024,48,2,February
Autonomous Systems Engineer,122831,Senior Level,Freelance,France,Small,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,8.4,Algorithmic Solutions,Remote,2024,19,5,May
Machine Learning Researcher,124820,Mid Level,Freelance,Norway,Small,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,9.9,Cognitive Computing,Hybrid,2024,60,8,August
Autonomous Systems Engineer,134200,Senior Level,Part-Time,United Kingdom,Small,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,7.8,Machine Intelligence Group,Hybrid,2024,41,11,November
Data Engineer,51920,Entry Level,Part-Time,Sweden,Small,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,7.9,Digital Transformation LLC,Remote,2025,35,4,April
Data Engineer,56427,Entry Level,Freelance,Singapore,Medium,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,5.2,DeepTech Ventures,Remote,2024,70,11,November
AI Product Manager,213783,Executive Level,Full-Time,Canada,Small,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,9.2,Quantum Computing Inc,Remote,2024,17,9,September
ML Ops Engineer,59728,Mid Level,Freelance,Israel,Medium,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,7.5,DataVision Ltd,Hybrid,2024,64,6,June
Computer Vision Engineer,119432,Senior Level,Contract,India,Large,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,6.3,Autonomous Tech,On-site,2024,49,4,April
AI Research Scientist,284486,Executive Level,Contract,United States,Medium,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,7.0,TechCorp Inc,On-site,2025,25,2,February
Data Analyst,157597,Executive Level,Contract,France,Large,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,8.4,Neural Networks Co,Hybrid,2024,15,8,August
ML Ops Engineer,196942,Executive Level,Contract,Australia,Large,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,7.5,TechCorp Inc,Remote,2024,15,4,April
Machine Learning Researcher,207548,Executive Level,Contract,Canada,Medium,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,6.7,Cognitive Computing,On-site,2024,35,2,February
NLP Engineer,68838,Mid Level,Freelance,Sweden,Small,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,7.4,TechCorp Inc,Hybrid,2024,53,6,June
ML Ops Engineer,125666,Executive Level,Freelance,Finland,Large,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,8.4,TechCorp Inc,Remote,2024,64,6,June
NLP Engineer,73174,Entry Level,Full-Time,Denmark,Medium,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,6.4,Machine Intelligence Group,Hybrid,2024,56,7,July
Autonomous Systems Engineer,33314,Entry Level,Contract,Israel,Small,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,8.3,Future Systems,Hybrid,2025,60,4,April
AI Specialist,69914,Entry Level,Full-Time,United States,Small,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,7.0,Smart Analytics,Remote,2025,59,2,February
Principal Data Scientist,152118,Executive Level,Freelance,France,Medium,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,6.9,AI Innovations,Hybrid,2024,55,5,May
AI Software Engineer,78014,Entry Level,Contract,France,Large,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,6.8,Digital Transformation LLC,Hybrid,2024,18,11,November
Research Scientist,48466,Entry Level,Part-Time,Canada,Small,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,5.7,Predictive Systems,Remote,2025,65,3,March
Data Analyst,97997,Senior Level,Contract,France,Small,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,6.0,Algorithmic Solutions,Hybrid,2024,27,6,June
Principal Data Scientist,128341,Senior Level,Freelance,Singapore,Small,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,6.9,Neural Networks Co,On-site,2025,50,4,April
AI Research Scientist,111528,Mid Level,Freelance,United States,Large,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,9.5,Predictive Systems,On-site,2024,68,3,March
Machine Learning Researcher,138945,Executive Level,Part-Time,Canada,Small,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,8.9,DeepTech Ventures,Hybrid,2024,67,7,July
NLP Engineer,98688,Senior Level,Full-Time,Israel,Medium,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,8.6,Cognitive Computing,Hybrid,2024,23,4,April
Data Analyst,109029,Senior Level,Full-Time,France,Small,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,6.1,Predictive Systems,On-site,2025,69,4,April
NLP Engineer,84797,Mid Level,Full-Time,Canada,Medium,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,6.2,Machine Intelligence Group,On-site,2024,30,12,December
Machine Learning Researcher,290199,Executive Level,Contract,Switzerland,Large,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,5.6,Smart Analytics,Hybrid,2025,54,1,January
AI Research Scientist,195691,Senior Level,Contract,United States,Large,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,8.7,Advanced Robotics,On-site,2024,63,4,April
AI Product Manager,193448,Senior Level,Full-Time,Norway,Large,100,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,6.6,Cognitive Computing,Remote,2025,68,1,January
AI Product Manager,138466,Executive Level,Part-Time,Israel,Large,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,9.5,Smart Analytics,Remote,2024,70,1,January
Data Analyst,91577,Mid Level,Contract,Netherlands,Medium,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,6.5,Algorithmic Solutions,Remote,2024,32,1,January
Computer Vision Engineer,92875,Mid Level,Full-Time,Sweden,Small,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,5.3,Digital Transformation LLC,On-site,2024,68,7,July
Data Engineer,213287,Executive Level,Full-Time,United Kingdom,Small,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,6.3,Cloud AI Solutions,Remote,2025,31,3,March
NLP Engineer,62171,Mid Level,Full-Time,Japan,Small,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,8.1,AI Innovations,On-site,2024,53,9,September
AI Research Scientist,152658,Executive Level,Freelance,South Korea,Large,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,9.0,TechCorp Inc,Hybrid,2024,49,1,January
ML Ops Engineer,95085,Mid Level,Full-Time,Norway,Medium,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,6.5,Predictive Systems,Remote,2024,31,3,March
Deep Learning Engineer,86750,Mid Level,Freelance,France,Small,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,7.1,AI Innovations,Remote,2024,73,12,December
AI Specialist,64261,Mid Level,Part-Time,Israel,Medium,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,8.8,TechCorp Inc,On-site,2024,36,9,September
Machine Learning Researcher,205357,Executive Level,Part-Time,United States,Small,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024-05-13,6.6,Predictive Systems,Remote,2024,66,3,March
AI Architect,165676,Executive Level,Contract,France,Small,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,7.8,Neural Networks Co,Hybrid,2024,43,5,May
Computer Vision Engineer,114658,Senior Level,Contract,France,Medium,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,8.2,Algorithmic Solutions,Remote,2024,33,3,March
Data Scientist,143149,Senior Level,Freelance,France,Large,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,9.1,Digital Transformation LLC,Hybrid,2024,58,3,March
Machine Learning Researcher,116276,Senior Level,Freelance,Germany,Small,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,7.9,Future Systems,Hybrid,2024,23,8,August
NLP Engineer,61055,Entry Level,Freelance,United States,Medium,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,6.9,Autonomous Tech,Remote,2024,42,6,June
ML Ops Engineer,50303,Entry Level,Full-Time,Austria,Large,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,7.0,DataVision Ltd,Remote,2024,52,8,August
Data Analyst,65570,Senior Level,Freelance,Ireland,Small,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,9.9,Smart Analytics,Hybrid,2024,15,10,October
AI Software Engineer,231078,Executive Level,Freelance,Singapore,Medium,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,7.6,Neural Networks Co,Hybrid,2024,49,4,April
AI Product Manager,106633,Senior Level,Full-Time,Australia,Medium,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,5.5,Algorithmic Solutions,Remote,2024,38,5,May
AI Specialist,121180,Senior Level,Freelance,Austria,Large,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-01-06,2025-02-01,7.0,Quantum Computing Inc,On-site,2025,26,1,January
Principal Data Scientist,64531,Entry Level,Part-Time,China,Large,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,2025-03-26,2025-04-13,7.0,Smart Analytics,Hybrid,2025,18,3,March
Machine Learning Engineer,125654,Mid Level,Contract,Singapore,Large,50,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,2024-08-25,6.8,DataVision Ltd,Hybrid,2024,66,6,June
Machine Learning Researcher,182275,Executive Level,Full-Time,Austria,Large,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,2025-04-19,2025-05-14,9.0,DeepTech Ventures,On-site,2025,25,4,April
Machine Learning Researcher,117708,Mid Level,Freelance,Denmark,Large,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,2024-02-24,2024-03-17,9.3,Neural Networks Co,On-site,2024,22,2,February
Data Engineer,143246,Executive Level,Full-Time,South Korea,Small,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,2025-01-24,8.4,Future Systems,On-site,2024,30,12,December
AI Product Manager,203198,Senior Level,Full-Time,Denmark,Large,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-12-04,2025-01-11,7.6,DeepTech Ventures,Hybrid,2024,38,12,December
Research Scientist,69487,Entry Level,Contract,Switzerland,Small,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-11-04,2024-12-02,7.7,Machine Intelligence Group,On-site,2024,28,11,November
AI Product Manager,95673,Executive Level,Freelance,Ireland,Small,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,2024-09-15,8.1,Neural Networks Co,On-site,2024,22,8,August
AI Software Engineer,59405,Entry Level,Freelance,Austria,Large,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,2025-04-12,6.0,Smart Analytics,Remote,2025,25,3,March
AI Specialist,131756,Senior Level,Part-Time,Netherlands,Medium,0,"AWS, R, Spark",PhD,5,Technology,2024-08-03,2024-10-15,7.9,AI Innovations,On-site,2024,73,8,August
AI Software Engineer,42835,Entry Level,Part-Time,South Korea,Large,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,9.0,Machine Intelligence Group,On-site,2025,28,3,March
Autonomous Systems Engineer,61893,Entry Level,Full-Time,Canada,Medium,50,"Statistics, Python, SQL",Associate,1,Consulting,2024-03-28,2024-05-01,5.2,Predictive Systems,Hybrid,2024,34,3,March
